News,State
"انتشر على مواقع التواصل وتطبيقات الدردشة مؤخراً صورة وثيقة منسوبة لمجموعة MBC السعودية تحمل عنوان: ""مكافئة نهاية الخدمة للأستاذ/جورج قرداحي""، تشير إلى توجيه ""المدير التنفيذي علي جاب.",0
ننشر سعر الدولار أمام الجنيه المصري خلال التعاملات الصباحية اليوم الاثنين 8-4-2024، في عدد من البنوك العاملة في مصر، مسجلا فى البنك الأهلى المصرى 47.50 للشراء، 47.60 جنيه للبيع.,1
تفوق مانشستر سيتي الإنجليزي على ضيفه فريق كوبنهاجن الدنماركي، بنتيجة 3-1 فى الشوط الأول من المباراة المقامة حاليا، ضمن منافسات دوري أبطال أوروبا ..,1
تشهد ملاعب العالم اليوم الاثنين 4 - 3 - 2024 عددا من المباريات فى مختلف المسابقات,1
"تداولت مواقع ومستخدمون على مواقع التواصل الاجتماعي تسجيلاً مصوراً ادّعَوا أنه يظهر ""لحظة ضبط عناصر المخابرات اللبنانية شحنة ضخمة من مخدر الكوكايين محشو داخل باذنجان المكدوس والمخلل.",0
قال طارق الديب، القيادى بحزب مستقبل وطن، إن خطاب الرئيس عبد الفتاح السيسي خلال حفل التنصيب بمثابة خارطة طريق جديدة للدولة المصرية، وتضمن العديد من الرسائل المباشرة بشأن ضرورة مشاركة المصريين. ,1
"يستعد الأهلى لمواجهة زد اف سى المقرر لها السابعة مساء الخميس المقبل باستاد القاهرة الدولى، فى اللقاء المؤجل من الأسبوع الثامن لمسابقة الدوري المصري.
",1
"ألزم قانون الموارد المائية والرى، الوزارة بإنشاء وإحلال وتجديد شبكة المصارف الحقلية المغطاة أو المكشوفة على أن تتصل جميع الأراضى الداخلة فى نطاق وحدة الصرف بسلسلة من المصارف العامة

",1
تداولت مواقع وصفحات إخبارية على مواقع التواصل الاجتماعي اليوم، تسجيلا مصورا يظهر سقوط منصة خلال إلقاء أحد المتحدثين عليها كلمة وسط تجمع جماهيري.,0
يلتقى نادى الهلال ضد الأخدود مساء اليوم الثلاثاء، في مباراة هامة بحثا عن الثلاث نقاط ومواصلة التقدم في جدول ترتيب الدورى السعودى..,1
يتداول روّاد مواقع التواصل صورةً يزعمون أنّها تظهر عضو مجلس القيادة الرئاسي اليمني عيدروس الزبيدي يقبّل رأس نائب رئيس الجمهورية اليمنية السابق علي محسن، بعد استقباله في العاصمة اليمنية عدن مؤخرًا،,0
"زعم رئيس الوزراء الإسرائيلي بنيامين نتنياهو أن دولة ""البوسنة والهرسك تقف مع إسرائيل وتدعم حقها في الدفاع عن النفس ضد الهجمات الإرهابية"".",0
فى اليوم الـ172 للحرب الإسرائيلية المستمرة على غزة، سقط عشرات الشهداء فى قصف للاحتلال على محيط مجمع الشفاء ورفح ومخيمات النازحين فى المواصى غرب خان يونس..,1
أنهى منتخب تونس استعداداته لمباراة نيوزيلندا المقرر إقامتها مساء اليوم الثلاثاء على ملعب استاد القاهرة الدولي، لتحديد المركز الثالث من بطولة كأس عاصمة مصر..,1
"كشف النجم المصرى محمد صلاح لاعب ليفربول الإنجليزي عن لاعبه المفضل الذى يحب رؤيته فى الملعب، بخلاف زميله ماك أليستر لاعب خط وسط الريدز.

",1
تولى خطة 23/2024 اهتمامًا كبيرًا بقطاع الاتصالات وتكنولوجيا الـمعلومات من حيث حجم الاستثمارات التى تم تخصيصها خلال عام الخطة والتى بلغ 83.3 مليار جنيه..,1
سلطت المدير العام  لمنظمة التجارة العالمية wto نجوزي أكونجو إيويالا، عبر الموقع الرسمى للمنظمة، الضوء على نتائج  المؤتمر MC13..,1
نجحت الهيئة العامة للمنطقة الاقتصادية لقناة السويس، في وضع منطقة القنطرة غرب الصناعية على خارطة المناطق الصناعية الجاذبة للاستثمار الأجنبي.,1
ننشر سعر الدولار أمام الجنيه المصرى اليوم الأربعاء 27-3-2024، بالتعاملات الصباحية في البنوك المصرية، مسجلا في البنك الأهلى المصرى 47.73 للشراء، 47.83 جنيه للبيع.,1
اكتسح فريق ليفربول نظيره سبارتا براج بنتيجة 6-1، ليتأهل إلى ربع نهائى الدورى الأوروبى بمجموع 6-1 فى ليلة شهدت دخول محمد صلاح التاريخ..,1
قدم اللواء خالد عبد العال محافظ القاهرة التهنئة للرئيس عبدالفتاح السيسي رئيس الجمهورية بمناسبة بدء ولايته الرئاسية الجديدة وحلف اليمين الدستورية أمام مجلس النواب بمقر العاصمة الإدارية,1
"نشرت صفحات وحسابات محلية على مواقع التواصل الاجتماعي ادعاء بأن ""شاباً سورياً يدعى يوسف حمد الأحمد انتحر بعد انتشار صورته على مواقع التواصل الاجتماعي والتعليق عليها بشكل سلبي"".",0
أكثر من 30 شخصية قدمتها الفنانة ريهام حجاج، عبر مسيرتها الفنية من خلال 30 عملا فنيا ما بين السينما والتليفزيون، جسدت من خلالها أدوار الفتاة الصعيدية والمتمردة والشريرة والطيبة والساذجة..,1
تناقلت مواقع إخبارية وصفحات على مواقع التواصل الاجتماعي ومستخدمون لتطبيقات الدردشة صورة زُعم أنّها تظهر أول قتيل من قوات النظام السوري خلال الحرب الروسية الأوكرانية.,0
انتشرت على مواقع التواصل الاجتماعي صورة يزعم ناشروها أنها تظهر السياسي اليمني رشاد العليمي حاملًا صورة تظهر علم اليمن الجنوبي، ,0
تقدم حزب المصريين الأحرار برئاسة النائب الدكتور عصام خليل بخالص التهنئة إلى الرئيس عبد الفتاح السيسي، رئيس الجمهورية القائد الأعلى للقوات المسلحة.,1
أعلن كارلو أنشيلوتي، المدير الفني لفريق ريال مدريد، عن تشكيل مواجهة مضيفه فريق أوساسونا، والمقرر لها فى تمام الخامسة والربع من مساء اليوم السبت,1
قدمت الفنانة صفاء أبو السعود فقرة فنية خلال مشاركتها في فعاليات الاحتفالية الخاصة بعيد الفطر لأبناء وأسر الشهداء,1
أكد الدكتور محمود عصمت وزير قطاع الأعمال العام، أن استراتيجية الوزارة وخطة عمل شركاتها التابعة تأتي متوافقة مع وثيقة سياسة ملكية الدولة، التي تستهدف توفير المناخ اللازم لزيادة الاستثمارات الخاصة.,1
تتوقع هيئة الأرصاد الجوية ، أن يشهد اليوم الإثنين، طقسا دافئا نهارا على القاهرة الكبرى والوجه البحرى، مائلا للدفء على السواحل الشمالية، مائلا للحرارة على جنوب سيناء وشمال الصعيد..,1
يهدف قانون البنك المركزى والجهاز المصرفي، لرفع مستوى أداء الجهاز المصرفى وتحديثه وتطويره ودعم قدراته التنافسية، بما يؤهله للمنافسة العالمية..,1
وجهت الحكومة استثمارات حوالي 100.7 مليار جنيه خلال العام المالي الجاري 2023/2024 لقطاع الصناعات التحويلية، بنسبة زيادة 19.6% عن الاستثمارات للعام المالي السابق,1
