News,State
قالت النائبة سماء سليمان، وكيل لجنة الشؤون الخارجية والعربية والأفريقية بمجلس الشيوخ، إن العلاقات المصرية الأمريكية تستمر على نهج واحد وهي التعارض في بعض القضايا والتوافق في ملفات أخرى،,1
يعمل معبر رفح بأقصى طاقة له في عيد الفطر المبارك لإيصال المساعدات الإنسانية والإغاثية لقطاع غزة وفقا لما أذاعته قناة القاهرة الإخبارية.,1
"أفادت قناة ""القاهرة الإخبارية"" أن مصر تواصل فتح معبر رفح أمام المصابين والعالقين في أول أيام عيد الفطر.

",1
تواصل مصر فتح معبر رفح لتسهيل دخول المساعدات لقطاع غزة ومرور المصابين في أول أيام عيد الفطر المبارك، وفقا لما أذاعته قناة القاهرة الإخبارية اليوم، ويواصل الاحتلال الإسرائيلي عدوانه على قطاع غزة، برًا وبحرًا وجوًا.,1
اعتاد التحالف الوطنى للعمل الأهلى التنموي مشاركة المواطنين كافة المناسبات وتقديم يد العون للأسر الأكثر احتياجا طوال العام، وفى عيد الفطر المبارك شارك التحالف الوطنى للعمل الأهلى المصريين فرحتهم بحلول العيد,1
أشاد النائب طارق رضوان رئيس لجنة حقوق الإنسان بمجلس النواب بتنظيم وزارة الداخلية لاحتفالية لنزلاء مراكز الإصلاح والتأهيل والذين تم الإفراج بالعفو عن 3438 من النزلاء وذلك بمناسبة عيد الفطر المبارك,1
احتلت الأعمال الكرتونية مكانة كبيرة في اهتمامات الأطفال، وهو ما استغلته بعض الدول لبث ثقافتها وأخلاقياتها المختلفة عن مجتمعنا وسط الأعمال الكرتونية لتربي ثقافات خاطئة في عقول الأطفال.,1
"
أكد الدكتور طارق فهمي، أستاذ العلوم السياسية، أن الرئيس عبد الفتاح السيسي حريص على استكمال الحوار الوطني في القضايا الرئيسية الآخرى التي تطالب القوى السياسية والاجتماعية بطرحها على مائدة المناقشات لترتيب أويات العمل الوطني.",1
يعد التحالف الوطني للعمل الأهلي التنموي بمثابة مظلة واحدة جمعت كافة مؤسسات المجتمع المدني من أجل توحيد الجهود لدعم الفئات الأكثر احتياجا منذ انطلاقه.,1
حدد قانون الطفل رقم 12 لسنة 1996 الضوابط الخاصة بالطفل للحفاظ على صحته وسلامته، كما أوضح العقوبات المقررة على من يخالف نصوص القانون.,1
أكد المقرر المساعد للجنة الشباب بالحوار الوطني زكي القاضي، أن الفترة المقبلة من أهم فترات الحياة السياسية خاصة والحياة المصرية عامة.,1
أتاح القانون البنك المركزي اتخاذ كافة الوسائل التي تكفل تحقيق أهدافه، حيث نصت المادة 6 من القانون ,1
تُعد عملية توطين الصناعة المحلية في مصر خطوة استراتيجية مهمة لتعزيز الاقتصاد الوطني وتقليل الاعتماد على الواردات، وتسعى الحكومة,1
أولت القيادة السياسية، اهتمامًا خاصًا بالطفل المصري، لا سيما وأن الرئيس عبد الفتاح السيسي دائما ما يؤكد على ضرورة الاستثمار في البشر,1
تناولت دراسة للمركز المصري للفكر والدراسات الاستراتيجية ، الجهود المصرية المبذولة لتعزيز حقوق الإنسان بمفهومها الشامل، حيث أسست,1
حدد  قانون التصالح في بعض مخالفات البناء وتقنين أوضاعها عدد من الشروط لقبول التصالح منها عدم إحداث تغيير أو تعديل في الأعمال المخالفة,1
حدد القانون رقم 207 لسنة 2020 بإصدار قانون الجمارك، شروط عملية استيراد البضائع وتصديرها,1
"حدد قانون العمل عدد من الضمانات والالتزامات على أصحاب الأعمال للوفاء بحقوق العامل حال تعدد مالكي المنشأة أو تعرضها للحل أو الإغلاق أو التصفية أو الإفلاس.

",1
تضمن قانون حماية المستهلك رقم 181 لسنة 2018 ضوابط لضمان حق المستهلك فى الحصول على السلع بأسعارها المناسبة والتصدى لأى تلاعب,1
وضع  قانون تراخيص المحال العامة الصادر برقم 154 لسنة 2019، ضوابط محددة على المقاهي والكافيهات الالتزام ,1
أقر القانون رقم 18 لسنة 2024 بتعديل بعض أحكام قانون بتعديل بعض أحكام قانون المالية العامة الموحد الصادر بالقانون رقم 6 لسنة 2022،,1
عاقب قانون حقوق الأشخاص ذوى الإعاقة، بالحبس مدة لا تجاوز سنة، وبغرامة لا تقل عن ألف جنيه ولا تزيد على عشرة آلاف جنيه، أو بإحدى هاتين العقوبتين، كل شخص مكلف برعاية شخص ذى إعاقة أهمل في القيام بواجباته.,1
"نصت المادة التاسعة من قانون حماية المستهلك، على التزامات يجب على المورد أو التاجر تطبيقها حتى لايتعرض للمسألة القانونية..
",1
"استهدف التحالف الوطنى للعمل الأهلى التنموى توزيع كارت ملابس العيد للأطفال، بقيمة 500 جنيه لـ1500 طفل بإجمالى تكلفة 750 ألف جنيه..
",1
تنص المادة 306 على أنه كل سب لا يشتمل على إسناد واقعة معينة بل يتضمن بأي وجه من الوجوه خدشاً للشرف أو الاعتبار يعاقب عليه في الأحوال المبينة بالمادة 171 بغرامة لا تقل عن ألفي جنيه ولا تزيد على عشرة آلاف جنيه.,1
"تنص المادة 34 من قانون حماية وتنمية البحيرات والثروة السمكية على أنه يحظر بغير ترخيص من الجهاز استعمال أي مركب في الصيد، وتحدد اللائحة التنفيذية بيانات الترخيص ومدته وإجراءات إصداره وتجديده.

",1
يستغل الكثيرون حيازة الحيوانات الخطرة والكلاب، لترويع المارة في الشارع، كنوع من أنواع السخرية، لكن القانون جاء وحسم هذه الجريمة..,1
تحدث السفير على الحفنى مساعد وزير الخارجية الأسبق، عن مشاركة عائلات فلسطينية الرئيس عبد الفتاح السيسى فى احتفالية عيد الفطر مع أبناء الشهداء.,1
حدد قانون حماية المستهلك ضوابط في عملية الشراء والبيع لضمان حقوق المستهلك، كما حدد عقوبات لمن يخالف هذه القواعد وذلك للحفاظ على استقرار عمليات البيع والشراء وحركة الأسواق.,1
"تعد المبادرة الرئاسية ""حياة كريمة""، التي أطلقها الرئيس في يناير 2019، واحدة من أكبر المبادرات التنموية التي شهدتها مصر على مدار تاريخها",1
بذلت الدولة جهودا ضخمة من أجل توسيع مظلة الحماية الاجتماعية، لتخفيف الأعباء الاقتصادية عن كاهل المواطنين، وهو ما يُعد انحياز واضح من جانب القيادة السياسية للمواطن البسيط,1
"رصدت دراسة للمركز المصري للفكر والدراسات الاستراتيجية، الجهود المصرية الحثيثة التي بُذلت من أجل تعزيز مسارات التعاون بين مصر ودول القارة الأفريقية، والمسارات المتوقعة في الولاية الجديدة.

",1
اعتاد الاحتلال الإسرائيلي على استباحة الدماء على مدار سنوات طويلة دون الالتفات إلى المناسبات والأعياد، فلم يكن عيد الفطر هو العيد الأول الذى تستغله قوات الاحتلال الإسرائيلي لسفك المزيد من الدماء,1
"أشاد المستشار حسين أبو العطا، رئيس حزب ""المصريين""، عضو المكتب التنفيذي لتحالف الأحزاب المصرية، بمشاركة الرئيس عبد الفتاح السيسي",1
بلغ حجم الاستثمارات المنفذة بقطاع الزراعة والري خلال العام المالي المنقضي 2022/2023 نحو 48.6 مليار جنيه في عام 2023/22، بنسبة مساهمة 4.2 من جملة الاستثمارات المنفذة في العام ذاته,1
كشف تقرير متابعة الأداء الاقتصادي والإجتماعي عن العام المالي 2022/2023 المقدم من وزيرة التخطيط الدكتورة هالة السعيد، إلي البرلمان ,1
تقدم النائب المهندس، حازم الجندى ، عضو مجلس الشيوخ، عضو الهيئة العليا لحزب الوفد بخالص التهنئة للرئيس عبد الفتاح السيسي والحكومة المصرية ,1
يهدف القانون رقم 17 لسنة 2024 بتعديل بعض أحكام قانون المرور الصادر بالقانون رقم 66 لسنة 1973، لزيادة الحد الأقصى المقابل لتطوير اللوحات المعدنية.,1
كشف تقرير متابعة الأداء الاقتصادي والإجتماعي عن العام المالي 2022/2023 المقدم من وزيرة التخطيط الدكتورة هالة السعيد،,1
"حدد قانون المحال العامة رقم 151 لسنة 2019، عدد من المخالفات التى يترتب عليها الغلق الإدارى للمحال العامة والتجارية، ونص القانون على أنه يجوز فى الأحوال التالية غلق المحل العام إدارياً.
",1
حدد قانون رقم 194 لسنة 2020 بإصدار قانون البنك المركزي والجهاز المصرفي، قواعد تقديم ومنح الائتمان لعملاء البنوك.,1
"حدد القانون رقم 146 لسنة 2021 بإصدار قانون حماية وتنمية البحيرات والثروة السمكية، شروط ممارسة الصيد لأسماك الزينة فى المياه البحرية و حظر صيدها  إلا بترخيص من الجهة الإدارية المختصة وذلك ف المادة 25 منه .

",1
"ينص قانون حماية حقوق الملكية الفكرية، في المادة 171، على أنه مع عدم الإخلال بحقوق المؤلف الأدبية طبقاً لأحكام هذا القانون، ليس للمؤلف بعد نشر مصنفه أن يمنع الغير من القيام بأي عمل من الأعمال الآتية:

",1
"حذر قانون حماية الآثار الصادر برقم 117 لسنة 1983، من جرائم التعرض للسائحين او التسول منهم و عاقب المخالفين له بعدد من العقوبات.
",1
"يواجه القانون جريمة الامتناع عن تسليم الميراث الشرعي إلي الورثة رغم أحقيتهم في الميراث، لحماية الحقوق للقضاء علي مثل هذه الجرائم، وحدد عقوبة ضد من يمتنع عن تسليم أحد الورثة نصيبه الشرعي من الميراث.

",1
"حدد قانون نزع الملكية للمنفعة العامة، ضمانات هامة لتعويض المواطنين بشأن نزع ملكية العقارات للمنفعة العامة، متضمنا الإجراءات التالية:

",1
"يمنح قانون حماية المستهلك رقم 181 لسنة 2018، للمستهلك حق استرداد نقوده إذا لم يحصل على خدمة جيدة، سواء كان الأمر متعلق بشراء منتج، أو بتقديم خدمة الصيانات المنزلية.

",1
يأتى القانون رقم 17 لسنة 2024 بتعديل بعض أحكام قانون المرور الصادر بالقانون رقم 66 لسنة 1973 بعد تصديق رئيس الجمهورية عليه، فى إطار خطة الدولة الهادفة لتطوير المنظومة الإلكترونية ومنظومة النقل الذكي.,1
عاقب قانون التأمين الصحى الشامل، بالحبس مدة لا تقل عن ستة أشهر وغرامة لا تقل عن ألفي جنيه ولا تجاوز عشرة آلاف جنيه، أو بإحدى هاتين العقوبتين، كل من أعطى بيانات غير صحيحة,1
هناك العديد من الآثار المتوقعة على الاقتصاد العالمي جراء استمرار الحرب على غزة، وهو ما كشفته دراسة أن الحرب بين إسرائيل وغزة..,1
"
أكد النائب طلعت عبد القوي، عضو التحالف الوطني للعمل الأهلي التنموي، أن التحالف سيواصل جهوده في إدخال البهجة والفرحة على الأسر الأكثر احتياجا والأطفال بالتزامن مع حلول عيد الفطر المبارك.

",1
قال النائب هشام الحصرى، رئيس لجنة الزراعة بمجلس النواب، إن المبادرات التي أطلقها التحالف الوطني على مدار العامين الماضيين، نجحت في دعم الفئات الأولى بالرعاية.,1
"

قال النائب عمرو هندي، عضو مجلس النواب عن المصريين بالخارج إن الشركة المتحدة للخدمات الإعلامية، قدمت موسما دراميا غير مسبوق",1
قال النائب علي بدر، عضو مجلس النواب، إن التحالف الوطني نجح في أن يكون بمثابة آلية قوية تقود المجتمع المدني والجميعات الأهلية لخدمة القرى والنجوع النائية التي كانت غائبة عن المشهد منذ عقود.,1
تقدمت إدارة الحوار الوطني، بأسمى آيات التهاني والتبريكات إلى الشعب المصري العظيم، بمناسبة حلول عيد الفطر المبارك، داعية الله تعالى,1
رصدت دراسة للمركز المصري للفكر والدراسات الاستراتيجية، جهود القاهرة لإيقاف الحرب في قطاع غزة.,1
"قال المستشار حسين أبو العطا، رئيس حزب ""المصريين""، عضو المكتب التنفيذي لتحالف الأحزاب المصرية، إنه على مدار السنوات الماضية كان هناك اهتماما كبيرا من قبل القيادة السياسية بتمكين المرأة والشباب",1
"رصد موقع ""برلماني""، المتخصص في الشأن التشريعى والنيابى، في تقرير له تحت عنوان: "" أبرزهم أصحاب التوك توك.. 20 سؤالا وإجابة حول التعديلات الجديدة لقانون المرور""، استعرض خلاله التعديلات الجديدة لقانون المرور .",1
حدد قانون حماية المستهلك ضوابط في عملية الشراء والبيع لضمان حقوق المستهلك، كما حدد عقوبات لمن يخالف هذه القواعد وذلك للحفاظ على استقرار عمليات البيع والشراء وحركة الأسواق.,1
أطلق حزب مستقبل وطن على مدار شهر 6 مبادرات وفعالية خدمية ومجتمعية على مدار أيام شهر رمضان، من بينها تنظيم مائدة إفطار واحدة لإفطار الأسر الأكثر احتياجا بكل محافظة،,1
"رصد موقع ""برلماني""، المتخصص في الشأن التشريعى والنيابى، في تقرير له تحت عنوان: ""أهلا بالعيد.. رسائل عشوائية تضخ بكثافة على هاتفك مع حلول العيد"".",1
"عاقب قانون الضمان الاجتماعى، كل شخص يتحايل من أجل الحصول على مساعدات الضمان الاجتماعي من خلال الإدلاء ببيانات غير صحيحة فى طلب الخدمة أو أغفل مصدرا من مصادر دخله.
",1
حدد قانون تنظيم حيازة الحيوانات الخطرة والكلاب السلطة المختصة المذكورة في القانون وموارده.,1
"رصد موقع ""برلماني""، المتخصص في الشأن التشريعى والنيابى، في تقرير له تحت عنوان: ""لو مسافر أجازة العيد بره مصر.. احذر من حيازة ممنوعات ممكن توقف السفرية"".",1
"رصد موقع ""برلمانى""، المتخصص في الشأن التشريعى والنيابى، في تقرير له تحت عنوان: "" وصول اللائحة التنفيذية.. 20 سؤالا وإجابة توضح كل ما تريد معرفته عن قانون التصالح فى مخالفات البناء"".",1
"نص قانون العقوبات الصادر برقم 58 لسنة 1937، على عقوبات حاسمة تتصدى لظاهرة "" البومب والصواريخ ""، التى تنتشر في الأعياد، تزامنا مع قدوم عيد الفطر المبارك.
",1
"حدد قانون التمويل العقارى، عدد من  الاشتراطات والإجراءات لتأسبس شركة تمويل عقاري، حيث  نص على أن ""يجب أن تتخذ الشركة شكل شركة مساهمة مصرية، وألا يقل رأس مالها المصدر والمدفوع منه عن الحد.

",1
قالت النائبة سماء سليمان وكيل لجنة الشؤون الخارجية والعربية والإفريقية بمجلس الشيوخ، إن مصر نجحت في تحويل الأزمات إلى فرص على مدار السنوات الماضية,1
ترتكز فلسفة الرؤية المصرية حول دعم الاستقرار والتنمية في المنطقة، وترسيخ مفهوم الدولة الوطنية، وعدم التدخل في الشؤون الداخلية للدول، وتعزيز الاستقرار والحفاظ على كيان الدولة، وتماسك المجتمع,1
أعطى القانون الحق للمستهلك في استبدال أو استرداد السلعة بعد شراءها للحفاظ على حقوقه في عملية البيع والشراء كما حدد عقوبة للمورد الذى يرفض استبدال أو استبدال السلعة,1
"حدد قانون تنظيم مزاولة نشاط تمويل المشروعات المتوسطة والصغيرة ومتناهية الصغر، عقوبة ضد من يرتكب مخالفة مزاولة نشاط تمويل المشروعات الصغيرة ومتناهية الصغر بدون الحصول على ترخيص.

",1
أكدت دراسة للمركز المصري للفكر والدراسات الاستراتيجية، أن موافقة رئاسة مجلس الوزراء على مشروع قرار رئيس مجلس الوزراء بإصدار اللائحة التنفيذية لقانون التصالح في بعض مُخالفات البناء وتقنين أوضاعها.,1
حدد قانون الضريبة العقارية الجديد الصادر برقم 23 لسنة 2020 والمعدل للقانون القديم رقم 117 لسنة 2014، الاعفاءات التي بموجبها يعفى العقار من إقرار تلك الضريبة,1
"وضع قانون تنظيم زرع الأعضاء البشرية، والذى يواجه جريمة الاتجار فى الأعضاء البشرية، عقوبات رادعة لجريمة مخالفة ضوابط وأحكام زراعة ونقل الأعضاء.

",1
يجيز قانون حماية المستهلك رقم 181 لسنة 2018 التصالح مع المتهم فى الجرائم المنصوص عليها فى هذا القانون، ولكن ذلك وفقا لشروط، حيث تنص المادة 59 من القانون,1
"حدد قانون العمل رقم 12 لسنة 2003، عدد من المحظورات علي العاملين بالقطاع الخاص سواء قام بها بنفسه أو بواسطة غيره وفي مقدمتها قبول هدايا أو مكافآت أو عمولات أو مبالغ
",1
"ثمنت الدكتورة جيهان مديح، رئيس حزب مصر أكتوبر، تأكيد الرئيس عبدالفتاح السيسي، في مختلف الفعاليات وآخرها حفل إفطار الأسرة المصرية على استمرار دعمه للمرأة والشباب
",1
رئيس الهيئة البرلمانية لحزب الشعب الجمهورى بمجلس النواب الأمين العام للحزب، يثمن قرار المجلس القومى للأجور، بزيادة الحد الأدنى لأجور العاملين بالقطاع الخاص إلى 6000 جنيه، بدلا من 3500 جنيه..,1
في 13مارس 2022، تم توقيع ميثاق التحالف الوطني للعمل الأهلي التنموي، من خلال التعاون بين مؤسسات المجتمع المدني ومؤسسة حياة كريمة..,1
"اختتم التحالف الوطنى للعمل الأهلي التنموي بمحافظة القليوبية ، فعاليات الدورة الرمضانية التي ينظمها التحالف بالمحافظة، وذلك بمشاركة فرق من مختلف الفئات والأعمار
",1
يواصل التحالف الوطني للعمل الأهلي التنموي، جهوده لدعم الأسر الأكثر احتياجا ومساندتهم من خلال سلسلة من المبادرات التي تستهدف تحقيق أمنهم الغذائي ,1
حدد القانون رقم 171 لسنه 2023 بشأن التحالف الوطنى للعمل الأهلى التنموى الذى صدق عليه الرئيس عبد الفتاح السيسى، 7 موارد رئيسية للتحالف..,1
"أشادت لجنة حقوق الإنسان بمجلس النواب بقرار المجلس القومي للأجور برفع الحد الأدنى للأجور للعاملين بالقطاع الخاص ليصبح 6000 جنيه بدلًا من 3500 جنيه..
",1
"قال النائب معتز محمد محمود وكيل لجنة الصناعة بمجلس النواب ، إن اعتبار الدولة مخرجات الحوار الوطني أولوية
",1
نظم حزب مستقبل وطن، اليوم الإثنين، حفل افطاره السنوى، بمشاركة المستشار عبد الوهاب عبد الرازق، رئيس مجلس الشيوخ رئيس الحزب، والنائب أحمد عبد الجواد..,1
"يهدف القانون رقم 29 لسنة 2023 بإصدار قانون تنظيم حيازة الحيوانات الخطرة والكلاب، إلى تنظيم حيازتها ومعالجة الظواهر السلبية والحوادث التي شهدها الشارع المصري
",1
تقدم حسين زين، رئيس الهيئة الوطنية للإعلام بخالص التهنئة للرئيس عبد الفتاح السيسي رئيس الجمهورية بمناسبة عيد الفطر المبارك,1
"يستهدف قانون الكهرباء تطوير سوق الكهرباء لتكون سوقا تنافسية، حيث نص القانون على أن ""تتولى الوزارة بالتنسيق مع الجهاز والجهات المعنية إعداد دراسة عن تطوير سوق الكهرباء

",1
يوضح قانون حماية الآثار القواعد التي تحافظ على الآثار المصرية كما حدد عقوبات قاسية لمن يخالف هذه القواعد، وفى هذا الإطار نصت المادة 43 من قانون حماية الآثار,1
"ألزم قانون الصكوك السيادية، بأن تُحفظ الصكوك السيادية التي تطرح داخل جمهورية مصر العربية بشركة الإيداع والحفظ والقيد المركزى المختصة وفقًا لأحكام قانون الإيداع والقيد

",1
"حدد قانون تنظيم حيازة الحيوانات الخطرة والكلاب ضوابط لإقتناء الحيوانات للحفاظ عليهم وعلى المواطنين أيضا، كما أوضح القانون المنتزهات الحيوانية بأنها حدائق ذات مساحة واسعة
",1
"ثمن هشام عبد العزيز، رئيس حزب الإصلاح والنهضة قرار المجلس القومي للأجور برفع الحد الأدنى للأجور للعاملين بالقطاع الخاص إلى 6 آلاف جنيهًا اعتبارًا من مايو 2024، واصفًا القرار بأنه ""انحياز للعدالة الاجتماعية""",1
"رصد موقع ""برلماني""، المتخصص في الشأن التشريعى والنيابى، في تقرير له تحت عنوان: ""هل يختص القضاء العادي بالقرارات الإدارية؟""، استعرض خلاله حكما لمحكمة النقض يتضمن 10 صفحات",1
قالت النائبة منال نصر، عضو لجنة الدفاع والأمن القومي بمجلس النواب عن حزب حماة الوطن، إن حديث الرئيس السيسي بشأن تمكين المرأة والشباب في الولاية الجديدة، تأكيد على أنهم ركائز أساسية في تحقيق التنمية,1
"وافق مجلس الوزراء خلال اجتماعه اليوم برئاسة الدكتور مصطفى مدبولي، على عدة قرارات:

",1
اعتبر ناجى الشهابي، رئيس حزب الجيل، أن قرار المجلس القومي للأجور برفع الحد الأدنى للأجور إلى 6000 آلاف جنيه، يساعد على تحقيق التوازن بين صاحب العمل والعامل وهو ما يحقق مصلحة العمل وزيادة الإنتاجية.,1
"رصد موقع ""برلماني""، المنتخسس في الشأن التشريعى والنيابى، في تقرير له تحت عنوان: ""للعمال والموظفين.. هل يجوز فصل العامل حال (فقدان الثقة) فيه؟""",1
"أكد حزب المؤتمر، برئاسة الربان عمر المختار صميدة، عضو مجلس الشيوخ، ومؤسس مجلس القبائل العربية، أن لقاء الرئيس عبدالفتاح السيسي ورئيس الاستخبارات الأمريكية لبحث تطورات الأوضاع

",1
اعتبر الدكتور محمد محمود مهران، المتخصص في القانون الدولي العام والخبير في النزاعات الدولية، أن بدء محكمة العدل الدولية، جلسات الاستماع العلنية بشأن الدعوى المقامة من جمهورية نيكاراغوا ضد ألمانيا.,1
