News,State
"انتشر على مواقع التواصل وتطبيقات الدردشة مؤخراً صورة وثيقة منسوبة لمجموعة MBC السعودية تحمل عنوان: ""مكافئة نهاية الخدمة للأستاذ/جورج قرداحي""، تشير إلى توجيه ""المدير التنفيذي علي جاب.",0
"تداولت مواقع ومستخدمون على مواقع التواصل الاجتماعي تسجيلاً مصوراً ادّعَوا أنه يظهر ""لحظة ضبط عناصر المخابرات اللبنانية شحنة ضخمة من مخدر الكوكايين محشو داخل باذنجان المكدوس والمخلل.",0
تداولت مواقع وصفحات إخبارية على مواقع التواصل الاجتماعي اليوم، تسجيلا مصورا يظهر سقوط منصة خلال إلقاء أحد المتحدثين عليها كلمة وسط تجمع جماهيري.,0
يتداول روّاد مواقع التواصل صورةً يزعمون أنّها تظهر عضو مجلس القيادة الرئاسي اليمني عيدروس الزبيدي يقبّل رأس نائب رئيس الجمهورية اليمنية السابق علي محسن، بعد استقباله في العاصمة اليمنية عدن مؤخرًا،,0
"زعم رئيس الوزراء الإسرائيلي بنيامين نتنياهو أن دولة ""البوسنة والهرسك تقف مع إسرائيل وتدعم حقها في الدفاع عن النفس ضد الهجمات الإرهابية"".",0
"نشرت صفحات وحسابات محلية على مواقع التواصل الاجتماعي ادعاء بأن ""شاباً سورياً يدعى يوسف حمد الأحمد انتحر بعد انتشار صورته على مواقع التواصل الاجتماعي والتعليق عليها بشكل سلبي"".",0
تناقلت مواقع إخبارية وصفحات على مواقع التواصل الاجتماعي ومستخدمون لتطبيقات الدردشة صورة زُعم أنّها تظهر أول قتيل من قوات النظام السوري خلال الحرب الروسية الأوكرانية.,0
انتشرت على مواقع التواصل الاجتماعي صورة يزعم ناشروها أنها تظهر السياسي اليمني رشاد العليمي حاملًا صورة تظهر علم اليمن الجنوبي، ,0
"تداولت مواقع إلكترونية خبراً يزعم ""نشوب حريق هائل بالقرب من #مطار_القاهرة الدولي"" منتصف ليل الأحد 28 آذار/مارس الجاري، وأرفق متداولو  صورة تظهر تصاعد الدخان واللهب في شارع.",0
نشر موقع الحدث التابع لقناة العربية خبراً ورد فيه أن السلطات السودانية رفضت أمس الأربعاء استقبال وفد قطري برئاسة وزير الخارجية محمد بن عبد الرحمن آل ثاني.,0
تناقل ناشطون على منصة فيسبوك مقطعاً يدعون أنه لاختراق الإعلامي أليكس جونز للقمة العالمية للحكومات في دبي وشتم الحضور،,0
"تداولت صفحات ومجموعات إخبارية على مواقع التواصل الاجتماعي اليوم، خبراً يتحدث عن قيام ""شاب عراقي بقتل 18 شخصاً رمياً بالرصاص دفاعاً عن عشيقته في بغداد"".",0
"نشرت عشرات المواقع الإخبارية العربية اليوم السبت، خبراً بعنوان ""ترامب ينحدر من أصول سورية ""، وتضمن الخبر الذي نقلته عدة مواقع و وكالات إخبارية سورية معلومات تقول أن موقع ""ريديت"" الأمريكي،.",0
تداول رواد مواقع التواصل الاجتماعي ادّعاء يزعم ترشيح الباحثة المصرية الهام فضالي لجائزة نوبل في الفيزياء،فما مدى صحة هذا الادّعاء؟ الجواب في المقال التالي،,0
"تداول مستخدمون على مواقع التواصل الاجتماعي صورة جوية لسفينة الحاويات البنمية الجانحة (إيفر غيفين) تقف بشكل مستقيم داخل قناة السويس مع ادعاء بأن ""السفينة لم تعد جانحة"".",0
انتشر ادّعاء أن جائحة كورونا ليست كارثة صحية ولم تؤثر على نسب الوفيات في أمريكا.,0
" نشرت مواقع إخبارية ومستخدمون في مواقع التواصل الاجتماعي، خبراً يزعم ""منح الجنسية السعودية بأمر من رئيس مجلس الوزراء لمن ولد داخل المملكة من أب أجنبي وأم سعودية""، وذلك في سيا.",0
‏ويغنوا وكأنهم في رحلة وهي رحله فلقد تم ترحيلهم الى الهاوية وسقر ولظى #حلل_يا_دويري من تصوير أحد ضباط جيش الإحتلال,0
يتداول ناشطون على فيسبوك ادعاء يزعم أن الأرض ستدخل ما يسمى “ظاهرة الأفيليون” مما سيؤثر بشكل كبير على برودة الطقس،,0
تداولت مواقع إخبارية وصفحات وحسابات على مواقع التواصل الاجتماعي منحازة للنظام السوري صوراً في سياق أحداث محافظة درعا الأخيرة.,0
يتداول رواد مواقع التواصل الإجتماعي صورة يزعم ناشروها أنّها تُظهر تمثال اللاعب محمد صلاح في إنجلترا،,0
تناقل ناشطون على منصة فيسبوك صورة لجوليان أسانج، مؤسس موقع ويكيليكس، والمحتجز في سجن بيلمارش الشديد الحراسة قرب لندن، يدعون أنها تظهر أسانج في السجن،,0
انتشرت على مواقع التواصل الاجتماعي صورة تظهر رجل مسلح يقف خلف مرمى كوت ديفوار خلال المباراة التي جمعت بين منتخب الجزائر وكوت ديفوار (ساحل العاج) في كأس الأمم الأفريقية 2021 في الكاميرون، فما حقيقة هذه الصورة؟,0
"نشرت مواقع وصفحات إخبارية تصريحاً نسبته للممثل المصري يحيى الفخراني خلال لقاء تلفزيوني قال فيه ""أنا سمعت أنو الاخوة بسوريا بقى عندهم بطاقة ذكية عشان ياخدوا عليها عيش( الخبز ) بصيت.",0
"نشر الحساب الرسمي لسلاح الجو الإسرائيلي على منصة إكس اليوم 17 تشرين الأول/أكتوبر الجاري، مقطع فيديو ادعى أنه لـ""ضرب سلاح الجو الإسرائيلي أهدافًا إرهابية وبنية تحتية عسكرية تابعة ل.",0
"  ادّعى موقع (Jannah news) يوم الإثنين 8 تشرين الثاني/ نوفمبر الجاري ""قيام مجموعة من الشبان الموالين برفع علم النظام السوري على دوار الساعة في مدينة الرقة الخاضعة لسيطرة.",0
رئيس الوفد اليمني يقول لبشار الاسد اين البراميل والطيران,0
"تداول مستخدمون لمواقع التواصل الاجتماعي مؤخراً ادعاء بـ ""وفاة والدة لاعب منتخب المغرب لكرة القدم سفيان بوفال"".",0
انتشر على مواقع التواصل الاجتماعي خبر يزعم ناشروه أن مدينة دبي الإماراتية تحتفل بمرور 41 سنة على عدم انقطاع الكهرباء لمدة ثانية واحدة،,0
تداولت مواقع وصفحات إخبارية على مواقع التواصل الاجتماعي، خبراً يدعي اعتقال أحد المجندين في صفوف جيش النظام السوري على خلفية دعوات نشرها عبر حسابه الشخصي بموقع (فيسبوك) للتظاهر احت.,0
"نشر الموقع الرسمي لقناة ""الميادين"" اليوم الأحد خبراً بعنوان ""شهداء في حلب بعد استهداف أحيائها من الجماعات المسلحة""، أرفقه بصورة لشارع تعرض للقصف وقال في وصف الصورة: ""استشهاد سبعة مدنيين بس.",0
انتشر على موقع التواصل الاجتماعي فيسبوك مقطعًا يظهر فيه الدكتور ماجد العاني مدّعيًا بأن منظمة الصحة العالمية أعلنت أن فيروس كورونا سينتهي في نيسان / إبريل 2021 سواء مع اللقاح أو بدونه.,0
توالت خلال اليومين الفائتين ردود الأفعال الدولية إزاء مقتل زعيم (فيلق القدس) الإيراني قاسم سليماني، ولم تخلُ الأخبار المتعلقة بهذا الحدث من التضليل والمعلومات الملفقة.,0
تحدث الإعلامي التونسي (لطفي غرس) أمس السبت، في بث مباشر عبر صفحته الرسمية بموقع (فيسبوك) مدته 4:43 دقيقة، عن مؤامرة تستهدف العرب والمسلمين، من خلال لقاحات فيروس كورونا (كوفيد - 19) المستجد.,0
تناقل ناشطون على فيسبوك ادعاء يزعم أن قطر أعلنت مؤخرًا عن حاجتها لـ 250 ألف شخص للعمل في منشآت ومرافق كأس العالم 2022،,0
"تداولت صفحات و حسابات على مواقع التواصل الاجتماعي أرقاما و إحصائيات نسبوها إلى ""المركز السوري الخاص للإحصاء"" حول أعداد السوريين الذين غادروا البلاد خلال شهر واحد.",0
"تداولت صفحات عامة وحسابات شخصية على مواقع التواصل الاجتماعي، حديثاً، مقطع فيديو يظهر  نيراناً مشتعلة بعدة مركبات في شوارع أحد المدن، وادعت أنه لـ ""انفجار وقع في مدينة تل أبيب.",0
"نشر حساب على منصة ""إكس"" يحمل اسم Dr.",0
" زعمت مواقع إخبارية ومستخدمون على مواقع التواصل الاجتماعي أنَّ ""اليابان أقرَّت قانوناً شبيهاً بعدة الطلاق في الإسلام يمنع المرأة من الزواج لمدة 100 يوم بعد انفصالها عن زوجها ال.",0
تناقل مستخدمون لمنصة فايسبوك صورة للإعلامي المصري “إبراهيم عيسى” ، وادعى ناشروها أنه يرقد في المستشفى إثر تدهور حالته الصحية،,0
تناقل ناشطون على مواقع التواصل مقطعًا يزعمون أنه يظهر تقريرًا مصوّرا يفيد بتدشين أول مسلخٍ للحوم الحمير في ولاية شلف الجزائرية،,0
"تداول مستخدمون لمواقع التواصل الاجتماعي خبراً زعم أنّ ""النظام السوري أصدر حكماً بإعدام حوالي مئة تونسي منتمٍ لداعش في سوريا والتنفيذ خلال 48 ساعة"".",0
انتشرت في مواقع التواصل الاجتماعي صور تظهر طفلا مبتسما بأسنان كاملة كأنه شخص بالغ،,0
" نشرت حسابات إخبارية ومستخدمون في مواقع التواصل الاجتماعى بتاريخ اليوم 25 آذار/مارس الجاري صورا وتسجيلاً مصوراً تزعم أنها ""من قصف الميليشيات الإيرانية على قاعدتيّ التحالف الد.",0
"تداولت حسابات على مواقع التواصل الاجتماعي، حديثاً، صوراً تظهر انفجارات ليلية و نيراناً و تصاعد كثيف للدخان، وادعى الناشرون أنها لـ ""هجوم استهدف القاعدة الأمريكية في حقل العمر النف.",0
"عبد السلام الحموي انتشر على شبكة الإنترنت مؤخراً مقطع فيديو يَظهر فيه مجموعة من رجال الشرطة الفرنسية يلقون الأصفاد على الأرض بشكل جماعي، وزعم ناشرو التسجيل أنّه صُوِر ""خلال.",0
"نشرت صفحات وحسابات على مواقع التواصل الاجتماعي مقطعاً مصوراً يُظهر مكتبة ضخمة مليئة بالكتب المصفوفة على جدار مرتفع، زعم ناشروها أنها تظهر ""مكتبة في منغوليا فيها كتب بغداد التي نهبها.",0
انتشر فيديو يظهر فيه صاروخ وهو يصيب موقع الانفجار موضحًا أنّ سقوط الصاروخ هو سبب حدوث انفجار بيروت.,0
"تداولت صفحات وحسابات عامة بمواقع التواصل الاجتماعي منشورات ادعت أن ""شبكة CNN أعلنت من مقتل أول أميركي في أوكرانيا وهو ذات الشخص الذي أعلنت أنه أول أمريكي يقتل في أفغانستان""، وتراف.",0
مع ترقب العالم لحدث الكسوف الكلي للشمس في الثامن من نيسان/أبريل من العام الجاري، يتداول العديد من مستخدمي مواقع التواصل الاجتماعي وعدد من المواقع الإلكترونية الأخرى ادعاءات مضللة.,0
انتشر في مواقع التواصل الاجتماعي خبر يزعم ناشروه أن الحكم الغامبي “بكاري جاساما” تعرض للاغتيال على يد مشجعين في فرنسا، ,0
